encoder,dataset,RIDGE-semi,RIDGE-std-semi,RIDGE,RIDGE-std
fcn,Adiac,0.488593350383632,0.146590790853238,0.574117647058823,0.157310617523818
fcn,ArrowHead,0.4896,0.07708518479115,0.4976,0.082711912129773
fcn,Beef,0.368,0.062879072653609,0.332,0.047590848793533
fcn,BeetleFly,0.768,0.093680307429043,0.732,0.103807514178888
fcn,BirdChicken,0.644,0.084047605557803,0.668,0.119063008529098
fcn,Car,0.486,0.069391001658076,0.478666666666667,0.052179178478265
fcn,CBF,0.917733333333333,0.045019041238948,0.937111111111111,0.030467955236548
fcn,ChlorineConcentration,0.3684375,0.04333527389485,0.375666666666667,0.04539133945938
fcn,CinCECGTorso,0.377304347826087,0.061166535749282,0.361797101449275,0.048090407053565
fcn,Coffee,0.818571428571429,0.144250349272735,0.888571428571428,0.09965245729483
fcn,Computers,0.70128,0.036690620054723,0.74,0.026144215421389
fcn,CricketX,0.612102564102564,0.023784259348736,0.620717948717949,0.026881971062012
fcn,CricketY,0.560615384615385,0.027861590847903,0.572410256410256,0.029012047192749
fcn,CricketZ,0.618974358974359,0.022247191757419,0.635794871794872,0.024567046555556
fcn,DiatomSizeReduction,0.546928104575164,0.220050673972439,0.539346405228758,0.203339373375309
fcn,DistalPhalanxOutlineAgeGroup,0.700719424460432,0.019623283017246,0.697841726618705,0.021915893829824
fcn,DistalPhalanxOutlineCorrect,0.744782608695652,0.023122188061694,0.740724637681159,0.018132745829839
fcn,DistalPhalanxTW,0.595971223021583,0.033353995286989,0.598848920863309,0.036529764358319
fcn,Earthquakes,0.566618705035971,0.031933370931985,0.57410071942446,0.035942434523156
fcn,ECG200,0.7868,0.035857495729624,0.8116,0.029890466707631
fcn,ECG5000,0.918737777777778,0.010674944935817,0.921484444444445,0.00877476066291
fcn,ECGFiveDays,0.694216027874565,0.118133264341714,0.683577235772358,0.138771867374549
fcn,ElectricDevices,0.651339644663468,0.011049888464641,0.639766567241603,0.014342901322736
fcn,FaceAll,0.770295857988166,0.049035228413594,0.826390532544379,0.04329711588188
fcn,FaceFour,0.633636363636364,0.094600071636966,0.681818181818182,0.100566576771989
fcn,FacesUCR,0.751980487804878,0.023029383501554,0.753580487804878,0.025819832450448
fcn,FiftyWords,0.263120879120879,0.033686049181096,0.287912087912088,0.037776633318445
fcn,Fish,0.561828571428571,0.043809457556886,0.579428571428571,0.040535195087927
fcn,FordA,0.905969696969697,0.004962300482535,0.903818181818182,0.00426121380208
fcn,FordB,0.76320987654321,0.017427971392614,0.756246913580247,0.018315196582339
fcn,GunPoint,0.8624,0.077880364092055,0.858133333333333,0.089849652197435
fcn,Ham,0.588571428571429,0.088196852592688,0.602285714285714,0.06533527693902
fcn,HandOutlines,0.742054054054054,0.047049264701849,0.757621621621622,0.037533291771899
fcn,Haptics,0.286233766233766,0.028816540105289,0.283636363636364,0.037040090327223
fcn,Herring,0.545,0.088202536811591,0.5425,0.102652325838239
fcn,InlineSkate,0.163418181818182,0.026107571492887,0.170690909090909,0.030951073093188
fcn,InsectWingbeatSound,0.231171717171717,0.030299838215713,0.275878787878788,0.015996173402221
fcn,ItalyPowerDemand,0.919300291545189,0.038703694843092,0.925403304178814,0.041410164817537
fcn,LargeKitchenAppliances,0.77792,0.033794316418922,0.773653333333333,0.029127227430323
fcn,Lightning2,0.645245901639344,0.048382601300188,0.64655737704918,0.053890310324733
fcn,Lightning7,0.511232876712329,0.061837746760179,0.455342465753425,0.061296433565697
fcn,Mallat,0.748179104477612,0.056822206997117,0.810234541577825,0.044088949841327
fcn,Meat,0.874,0.066846424320561,0.859333333333333,0.07587709360099
fcn,MedicalImages,0.579526315789474,0.047910754984798,0.575315789473684,0.04624588025374
fcn,MiddlePhalanxOutlineAgeGroup,0.547012987012987,0.028112008815375,0.548311688311688,0.032601282948017
fcn,MiddlePhalanxOutlineCorrect,0.750103092783505,0.038248148244184,0.746116838487973,0.043558053213115
fcn,MiddlePhalanxTW,0.478441558441558,0.032008179086284,0.488051948051948,0.040183421588405
fcn,MoteStrain,0.814888178913738,0.083097893036395,0.80479233226837,0.104379984329968
fcn,NonInvasiveFetalECGThorax1,0.793587786259542,0.013226070502795,0.814493638676845,0.009368424601999
fcn,NonInvasiveFetalECGThorax2,0.819277353689567,0.022658289995574,0.843419847328244,0.00831212615326
fcn,OliveOil,0.697333333333333,0.132638187898089,0.674666666666667,0.1625573403107
fcn,OSULeaf,0.705454545454545,0.057703707986948,0.779834710743802,0.031654510888004
fcn,PhalangesOutlinesCorrect,0.737715617715618,0.018072349916514,0.738135198135198,0.015698292642544
fcn,Phoneme,0.143438818565401,0.027751430471511,0.15795358649789,0.021416941795199
fcn,Plane,0.99847619047619,0.003491486243776,1,0
fcn,ProximalPhalanxOutlineAgeGroup,0.81619512195122,0.016540542011725,0.817756097560976,0.012934098278382
fcn,ProximalPhalanxOutlineCorrect,0.815945017182131,0.02287906339141,0.807835051546392,0.024336497056499
fcn,ProximalPhalanxTW,0.692292682926829,0.030972191092315,0.679219512195122,0.02963285152245
fcn,RefrigerationDevices,0.489173333333333,0.045293033067398,0.483626666666667,0.036328418016142
fcn,ScreenType,0.440426666666667,0.04572181779219,0.456,0.054567063733029
fcn,ShapeletSim,0.824222222222222,0.099342032927522,0.842222222222222,0.081830900620098
fcn,ShapesAll,0.646333333333333,0.033628691453711,0.707333333333333,0.028573491988983
fcn,SmallKitchenAppliances,0.718826666666667,0.023479753926403,0.729173333333333,0.021717605761225
fcn,SonyAIBORobotSurface1,0.816439267886855,0.071941367946658,0.801996672212978,0.105933450061477
fcn,SonyAIBORobotSurface2,0.885246589716684,0.035604989124624,0.887387198321091,0.049026146661972
fcn,StarLightCurves,0.920135988343856,0.011757857171242,0.927571636716853,0.010463688613717
fcn,Strawberry,0.895783783783784,0.019595321514941,0.897081081081081,0.023448745841076
fcn,SwedishLeaf,0.866816,0.014089306015557,0.884224,0.023536342621572
fcn,Symbols,0.759316582914573,0.05964677725509,0.789266331658291,0.06356001381909
fcn,SyntheticControl,0.9784,0.006674661872418,0.984933333333333,0.005174295443182
fcn,ToeSegmentation1,0.795087719298246,0.056516285169687,0.827543859649123,0.077845329676328
fcn,ToeSegmentation2,0.785846153846154,0.073964008519097,0.799076923076923,0.062391017408393
fcn,Trace,0.996,0.007483314773548,0.9864,0.012611106216348
fcn,TwoLeadECG,0.830377524143986,0.093183947203847,0.896716417910448,0.066440815358958
fcn,TwoPatterns,0.78502,0.011502373668074,0.78319,0.00984283495747
fcn,UWaveGestureLibraryAll,0.672339475153546,0.014823194201254,0.668743718592965,0.013520326354637
fcn,UWaveGestureLibraryX,0.630318257956449,0.00931151880131,0.640279173646008,0.009335299566864
fcn,UWaveGestureLibraryY,0.540558347292016,0.00901191209884,0.547973199329983,0.01033460868614
fcn,UWaveGestureLibraryZ,0.602635399218314,0.011087905646102,0.608844221105528,0.01054443554508
fcn,Wafer,0.984179104477612,0.003922969300255,0.985282284231019,0.004428322985614
fcn,Wine,0.62962962962963,0.137087077950531,0.612592592592593,0.142090988835913
fcn,WordSynonyms,0.211849529780564,0.049675750145461,0.222633228840125,0.051678482748153
fcn,Worms,0.504935064935065,0.066760826291605,0.539220779220779,0.084893353274906
fcn,WormsTwoClass,0.619220779220779,0.065578114651676,0.662857142857143,0.072026306545193
fcn,Yoga,0.63176,0.032997443672032,0.648866666666667,0.033969136318462
